,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
324436,2020-11-11,stevenarce,"Vacuna rusa está registrada en OMS.  Produjo anticuerpos a la mayoría de  voluntarios (a algunos se les aplicó placebo)  Empezó con 70 voluntarios, ahora son 40 mil.  Cumplirá según registro OMS con las mismas 3 fases que otras vacunas.  efectividad 92%  Información, no opinión.",46,174,1597,https://twitter.com/stevenarce/status/1326540940803104768,605.6666666666666
432794,2020-08-12,leodelao,"Buen día inges!  Ya me puse la vacuna Rusa del COVID y me siento fantástico, no tengo ningún efectoski secundarioski Хуан де Диос ломает его, и никакая лошадь не останавливает его",59,143,1609,https://twitter.com/leodelao/status/1293588894865223680,603.6666666666666
354791,2020-11-02,nbg__,"Igual que hizo con las vacunas que están testeando AstraZeneca, Pfizer y China, el Gobierno acordó comprar 10 millones de dosis de la vacuna rusa en caso de que finalmente sea certificada por autoridades sanitarias. Hoy a las 20, todos los detalles con @gsued en @_IPNoticias.",24,246,1540,https://twitter.com/nbg__/status/1323373016798121984,603.3333333333334
379464,2020-10-02,the_shipscook,"Comienza la Fase III de la vacuna Rusa, fue probada en Ratas, Monos y ahora en Chavistas.  Putin a la espera de resultados para aplicarsela.",53,616,1141,https://twitter.com/The_ShipsCook/status/1312076983921192968,603.3333333333334
218266,2021-01-23,soccivilmx,Te pondrías la vacuna rusa Sputnik V?  https://t.co/8qwnZFj5LG,156,705,948,https://twitter.com/SocCivilMx/status/1353026409854328834,603.0
274970,2020-12-23,actualidadrt,-¡Esa vacuna rusa no es de fiar! Yo confío más en la de Oxford -Pues la de Oxford anunció que combinará la suya con Sputnik V -… ¡Pura propaganda del Kremlin! 🙄 @inafinogenova  https://t.co/uv7IiLbPSM,32,619,1154,https://twitter.com/ActualidadRT/status/1341907215859462144,601.6666666666666
125956,2021-03-26,afpespanol,"#ÚLTIMAHORA Francia lamenta que vacuna rusa Sputnik V sea una herramienta ""de propaganda y diplomacia agresiva"" (ministro) #AFP",36,758,1005,https://twitter.com/AFPespanol/status/1375363747301179392,599.6666666666666
49633,2021-02-09,fiorellafiol,"El personal médico celebra las vacunas, me importa un huevo si Magaly celebra o no la llegada de las vacunas. Ellos están en primera línea y ella no. No entiendo cuál es la idea de dividir a la población con el tema de la vacuna. ¡La vacuna china Shinopharm funciona, vacunate!",83,232,1481,https://twitter.com/fiorellafiol/status/1358987334012837889,598.6666666666666
375852,2020-10-02,planwac,"Triste oir a Vanesa Davies desinformar sobre la Sputnik V proyecto d Vacuna Rusa q se está probando contra Covid en fase 3, registrada en Rusia. La OMS la llama ""candidato vacunal"". Vanesa habla d ""producto ruso"" y agrega cizañeramente ""quiero creer que se probará en voluntarios""",247,884,663,https://twitter.com/planwac/status/1312164838173405184,598.0
163337,2021-02-10,rochaperiodista,"Hoy asegura Héctor Aguilar Camín que nunca escribió que la vacuna rusa solo funcionara en los rusos y le pide a AMLO retire su dicho... Pero hace unos días sí escribió que la Sputnik V puede tener una ""efectividad mucho menor"" en ""países tropicales de ingresos bajos y medios"".  https://t.co/0sQ5P6t6RG",86,591,1117,https://twitter.com/rochaperiodista/status/1359512503835889664,598.0
105921,2021-04-24,luchaalmada,#SiTeLoPerdiste➡️ Arriban a Venezuela 80 mil dosis de la vacuna rusa Sputnik-V  https://t.co/8uS59Pl6lB   #23Abr #PrevenirEsLaClave,41,1470,282,https://twitter.com/luchaalmada/status/1386002498813665282,597.6666666666666
216904,2021-01-24,fisicoimpuro,La vicepresidenta de Argentina que tiene 67 años se vacunó hoy con la Sputnik V. Y pensar que aquí hay gente que le encanta el salchichón y la butifarra y dice que no se pondría la vacuna Rusa dizque porque no sabe lo que tiene.,35,342,1415,https://twitter.com/FisicoImpuro/status/1353432415260258304,597.3333333333334
211555,2021-01-26,syzavel19,"Es agotador, intentar explicar a los fans de los opinadores la postura de Angela Merkel sobre la vacuna rusa. No leyeron la declaración de Merkel, no saben del protocolo de las vacunas, no entienden que el tema es de salud y humanitario, pero repiten como 🦜 cualquier consigna🙊",44,399,1349,https://twitter.com/syzavel19/status/1354085208354652161,597.3333333333334
123610,2021-03-30,mippcivzla,"#EnVivo🔴| Pdte. @NicolasMaduro: Gracias a la ayuda de Rusia tenemos insulina y ahora probaremos la segunda vacuna rusa, ya comenzaremos los estudios en nuestro país   #SputnikVContraCovid     https://t.co/H5jWPnl1fp",6,1617,169,https://twitter.com/Mippcivzla/status/1377036181892923399,597.3333333333334
25071,2021-03-08,materesadulanto,"Ante la denuncia de Beto Ortiz @malditaternura sobre la ineficacia de la vacuna China, Sr. Sagasti publique usted el contrato completo y que el pueblo sepa la verdad. La verdad nos hace libres!  De no ser buena esa vacuna los médicos estarán expuestos y podrán morirse también.",76,399,1316,https://twitter.com/materesadulanto/status/1369113837891371011,597.0
122317,2021-04-01,mippcivzla,#NotiMippCI 📰🗞| Venezuela firma acuerdos para la adquisición de la nueva vacuna rusa EpiVacCorona. Lea más ⏩  https://t.co/tY53y8tld3 #UnidosEnPrevención  https://t.co/7SHwDFQHtQ,4,1610,176,https://twitter.com/Mippcivzla/status/1377729985754976261,596.6666666666666
209674,2021-01-26,aleferruzcal,"No vi  un twit de Lilly Téllez diciendo que la vacuna Rusa no es efectiva cuando los gobernadores Federalistas anunciaron con bombos y platillos que la comprarían, tampoco dijo nada cuando el empresario PRIANRDista mostró un contrato falso de la  compra de  las vacunas en Rusia.",36,571,1183,https://twitter.com/AleFerruzcaL/status/1354164641094643715,596.6666666666666
285340,2020-12-19,ursuvargues,No Juana. La vacuna Rusa también se probó en mayores de 60 años. Los resultados estarán antes de fin de año. Saludos!,56,199,1534,https://twitter.com/ursuvargues/status/1340466528559521800,596.3333333333334
