,Tweet,Amount
84,"Puta la madre, lo chilenos compran la vacuna china #Sinovac y la vacuna rusa #SputnikV.  Mientras acá en #Ecuador #ElPeorPresidenteDeLaHistoria Lenin Moreno y su gobierno #ElPeorGobiernoDeLaHistoria ni la una, ni la otra y nos tiene muriendo en desesperación!",12
85,"hospitales #COLAPSADOS xq #SAGASTI y la #INCAPAZ Mazetti,,,, no le dan bola prefieriendo la vacuna #CHINA  y la compran y dsp tienen q  esperar q empresarios peruanos  #PAGUEN para TRAERLA ,,,, #VERGUENZA y #GENOCIDIO  gubenamental xq  enfermos  acaban en #UCI y dsp en la #TUMBA",12
86,¡Apareció la vacuna china! CoronaVac tiene efectividad de apenas 50% en Brasil  https://t.co/C2WpytJQko,12
87,La nueva mutación del Covid-19 que llegó al país y la esperanzadora efectividad de la vacuna china 🇨🇳💉   https://t.co/ga3AgcCcL6,12
88,¡IMPACTANTE! ¿Renunciaron trabajadores del Saime por negarse a colocarse la vacuna rusa?   https://t.co/sxT7INbtld,12
89,"El gobierno trae vacuna rusa sin suficientes testeos. Cuando luego Lancet le da aprobación parcial, corren los kumpas a vacunarse x izquierda, sacrificando a médicos y ancianos, simbolizados con bolsas negras portando nombres de vacunados VIP.¡Todo hay que explicarles en Peronia!",12
90,"@Mippcivzla @AlvaradoC_Salud @Campeon84 @pinfantea @garcesf_ing @Gabrielasjr @luis_villegasr @rafadominguezf @ONAoficial @Ros_Rodriguez_ @luchaalmada #18Feb🇻🇪📢 ¡ETIQUETA DEL DÍA! ⏩ #SputnikVEnVenezuela  Venezuela comienza este #18Feb el proceso de inmunización contra el Covid-19 con la vacuna rusa Sputnik V, para garantizarle al pueblo el Derecho a la Salud y protección ante la pandemia. 🇷🇺💉🇻🇪",12
91,¿Te pondrías la vacuna rusa?,12
92,"#BarbosaQueremosVacunas las puedes comprar con los recursos de los impuestos que pagamos los poblanos. La vacuna Rusa es de buena calidad, efectiva y barata, además producen 100 millones de dosis al mes.  @Gob_Puebla   @MBarbosaMX",12
93,#13Ene | Régimen evalúa regreso a clases presenciales (cuenta con la vacuna rusa) #ENSociedad  https://t.co/JirDDxv8je,12
94,Sputnik V: llegaron Argentina las primeras 300.000 dosis de la vacuna rusa #EMundo  https://t.co/HNC7uxOtSs,12
95,Primeros resultados apuntan a que la vacuna rusa contra el covid-19 tiene 92% de eficacia #ENCiencia  https://t.co/NJvZmESjul  https://t.co/zpSgXSnzCz,12
96,Llegó a Venezuela la vacuna rusa para el coronavirus #ENPolítica  https://t.co/niWBkmPFEm   https://t.co/xZWip0q2ZW,12
97,"#SputnikVLlegaAVenezuela   Día historico llega a Venezuela, primer país latinoamericano que recibe la vacuna rusa Sputnik-V para ganar la lucha contra la COVID-19 ¡Gracias Rusia!",12
98,"Amigos, me ofrecí como voluntario pa la vacuna rusa COVID-19 y fui vacunado esta mañana en el hospital, fui hacer mis cosas normal y hasta ahora no observo ninguna reaksionoski o efecto sekundarioski pueden estar trankiloski toduski иi meиш че сеитгюд ерпестe аьио овут Лопес.",12
99,El régimen afirmó que pretende producir la vacuna rusa contra el covid-19 en Venezuela #ENSociedad  https://t.co/QURI7IeuKA  https://t.co/DqnVQPPD7x,12
100,Putin asegura que su hija fue inoculada con la vacuna rusa contra el coronavirus #ENMundo  https://t.co/Ms1mjVZ9kH  https://t.co/Wr1jNrzXW0,12
101,@willaxtv @Minsa_Peru @CNNChile  @gobiernochilecl  @sebastianpinera @canalN_ @jaimebaylys @RPPNoticias @julianaoxenford @atv_noticias @rlopezaliaga1 @RafaelLopezAli3 @ExpresoPeru  Allí esta pues la vacuna China en Chile. Las consecuencias. Quizas necesitan una tercera dosis.,11
102,"#13Ene | Coronavirus: resultados en Brasil muestran que la vacuna china CoronaVac tiene una eficacia del 50,4% #ENMundo  https://t.co/6doXxg690x",11
103,¿Por qué Brasil suspendió los ensayos clínicos de la vacuna china Sinovac?  https://t.co/k6yT9ieTUi,11
104,Y la vacuna rusa?,11
105,#20Feb|🗣️  🇻🇪📢 ¡𝐓𝐨𝐦𝐚 𝐍𝐨𝐭𝐚! 🇻🇪📢                      #SputnikVenezuela #UniónBolivariana                          Con la vacuna rusa Sputnik V se garantizara al pueblo el Derecho a la Salud y protección ante la pandemia del covid-19 🇷🇺💉🇻🇪,11
106,#18Feb|🗣️    🇻🇪📢 ¡𝐓𝐨𝐦𝐚 𝐍𝐨𝐭𝐚! 🇻🇪📢                      #SputnikVEnVenezuela        Venezuela comienza hoy #18Feb el proceso de inmunización contra el Covid-19 con la vacuna rusa Sputnik V,11
107,vacuna rusa,11
108,"Me ofrecí como voluntario para la vacuna rusa COVID-19 y fui vacunado esta mañana en el hospital, fui hacer mis cosas normal y hasta ahora no observo ninguna reaksionoski o efecto sekundarioski pueden estar trankiloski toduski иi meиш че сеитгюд ерпестe аьио овут Лопес Обрадор",11
109,Maduro dijo que su hijo será parte de los voluntarios que se pondrá la polémica vacuna rusa💉🇷🇺  https://t.co/9ZJsPnRqyI 👉 @miami_diario,11
110,Venezuela estaría lista para probar la vacuna rusa contra el COVID-19  https://t.co/k923gIwnLZ vía @tuquequenews,11
111,Covid-19: Problemas y riesgos de la vacuna rusa Sputnik V #ENCiencia  https://t.co/gAAz2XSovi  https://t.co/eRxDWvvSB6,11
112,Pues les cuento que ya me puse la vacuna Rusa del COVID y no tengo ningún efectoski secundarioski Президент Российской Федерации; o Президент России.,11
113,Alemania se muestra escéptica respecto a la vacuna rusa contra el coronavirus #ENMundo  https://t.co/4nt6m25FBw   https://t.co/fbA5sGedQf,11
