,date,username,tweet,replies_count,retweets_count,likes_count,link,popularity
431765,2020-08-12,aschapire,La vacuna rusa hay que probarla primero con quienes le mandaron felicitaciones a Putin. Después vemos.,10,93,421,https://twitter.com/aschapire/status/1293606682698944512,174.66666666666666
418971,2020-08-14,walterdossier,"Cuba podría producir la vacuna rusa Sputnik-V contra la COVID-19 a partir de noviembre, informa el jefe del Fondo Ruso de Inversión Directa ""Cuba goza de unas capacidades excelentes para fabricar vacunas. Estamos conversando con varias empresas cubanas""👇  https://t.co/XGGYUyJcNB",8,261,251,https://twitter.com/WalterDossier/status/1294168787537793024,173.33333333333334
433083,2020-08-12,aroliveros,"El @nytimes sobre la supuesta vacuna rusa frente al covid-19: ""Es como subir a un avión al cielo, afirmando que funciona, cuando en realidad nunca has hecho un vuelo de prueba... Tal vez funcione, o tal vez te estrelles contra el suelo"".",20,180,320,https://twitter.com/aroliveros/status/1293583189370445824,173.33333333333334
451742,2020-08-11,darmendariz97,Los seccion de comentarios de la vacuna rusa es lo mejor porque a la gente “le da miedo una vacuna rusa”.... no vaya a ser que Putin quiera controlar las mentes de todos los residentes de Cumbres Elite.,4,75,437,https://twitter.com/darmendariz97/status/1293179156373487625,172.0
412280,2020-08-17,sinlinea_mx,Para los que piensan que AMLO dio el negocio de las vacunas a Slim; les tapa la boca. Ya dijo que si la vacuna rusa es eficaz; hablaría con el Presidente Putin para solicitarla y él sería el primero en aplicársela. Lo mismo sería con China o EU.   https://t.co/XbyZIR5hs2,7,169,340,https://twitter.com/SinLinea_Mx/status/1295370004989452289,172.0
437755,2020-08-12,stradavictor,Pues les cuento que ya me puse la vacuna Rusa del COVID y no tengo ningún efectoski secundarioski Президент Российской Федерации; o Президент России. 😜,49,69,397,https://twitter.com/StradaVictor/status/1293404250521907205,171.66666666666666
451848,2020-08-11,cuentamister,"Es a parte curioso ver como toda la prensa dice ""el mundo mira la vacuna rusa con recelo""... Falta añadir ""no como las nuestras que sí son seguras, porque lo digo yo""... ¿Desde cuándo cojones las vacunas son seguras si llevan años con debates interminables vacunas y antivacunas?",33,22,459,https://twitter.com/CuentaMister/status/1293177518401314818,171.33333333333334
452397,2020-08-11,miguelm_barrios,"La vacuna rusa se ha saltado la última fase. Allá al igual que en otros lados, la política vale más que lo correcto.   Por eso todo lo que veng de Rusia lo veo con cautela.",19,33,461,https://twitter.com/miguelm_barrios/status/1293169368147398658,171.0
419943,2020-08-13,caromunozb,Solo quienes entiendan este meme pueden aplicarse la vacuna rusa.  https://t.co/Kj9lLDk9gI,51,56,405,https://twitter.com/Caromunozb/status/1294063106847629319,170.66666666666666
434742,2020-08-12,riegopineda,"La vacuna rusa tiene un efecto secundario muy nocivo... tumbó un negocio de miles de millones que ""podría"" haber saneado la impagable deuda pública de USA.",9,236,258,https://twitter.com/RiegoPineda/status/1293547079776776192,167.66666666666666
434635,2020-08-12,oleismos,Los primeros testeos en humanos de la vacuna rusa .  https://t.co/n2HPFqKTtw,17,85,393,https://twitter.com/oleismos/status/1293549540784709633,165.0
454160,2020-08-11,mrsahuquillo,"Putin afirma que Rusia es el primer país en lograr una vacuna contra la covid-19 ""segura  y eficaz"". Habla pese a las pese a las dudas y alertas de los expertos. Y más: el líder ruso afirma que una de sus hijas se ha puesto la vacuna rusa y que está bien   https://t.co/oU8b7Z6IJN",28,142,319,https://twitter.com/mrsahuquillo/status/1293107557138128902,163.0
