,date,username,tweet,replies_count,retweets_count,likes_count,link
351246,2020-11-02,rulombotv,Vacuna Rusa: *Llega a la Argentina* Yao Cabrera: JODA EXTREMA😲 INYECTANDO💉 a los ENANOS WIFI😈 con la VACUNA RUSA *Termina mal🤮☠*,24,141,2473,https://twitter.com/RulomboTV/status/1323412535161376770
354051,2020-11-02,peroniarepublic,Mira si te aplican la vacuna rusa y quedamos todos como Vicky Donda.,185,406,2464,https://twitter.com/PeroniaRepublic/status/1323380420210294784
351146,2020-11-02,gkitanick,Antes de la vacuna rusa Despues de la vacuna rusa #YoNoMeVacuno  https://t.co/0sBPtbua3E,59,441,2398,https://twitter.com/GKitanick/status/1323413801493028865
351900,2020-11-02,marianodelrey_,"Si la vacuna rusa funciona, propongo que los 45 millones de argentinos cantemos juntos Tu veneno de Natalia Oreiro",13,336,2393,https://twitter.com/marianodelrey_/status/1323404514448297984
331399,2020-11-07,manuelquieto,Te hacés curar el empacho por teléfono y desconfiás de la vacuna rusa ?,36,400,2371,https://twitter.com/manuelquieto/status/1325243373763039233
356608,2020-11-02,luispetri,"El #GobiernoDeCientificos quiere comprar una vacuna rusa cuyo único estudio se realizó en 72 personas por 42 días, sin placebo y sin voluntarias mujeres. Esa vacuna es una Ruleta Rusa  https://t.co/oyOBwLqa0v",882,1106,2339,https://twitter.com/luispetri/status/1323357569931509761
337677,2020-11-04,inafinogenova,"«La verdad sobre la vacuna rusa», dice. Una mezcla de información publicada en agosto, medias verdades, errores de datos graves, y muchísimas ganas de que todo encaje en el relato que pretende vender. Eso sí, la impresión que da es la de haberse leído todo y saber muchísimo.",108,772,2270,https://twitter.com/inafinogenova/status/1324100654726582278
344698,2020-11-03,quimeyherrera01,"bueno gente, vine a ponerme la vacuna rusa, ya me dieron 5000 pesos, la otra parte me la dan cuando me afilie al PJ, muy rica la vianda del hospital  https://t.co/X3vxDICZHW",18,101,2246,https://twitter.com/QuimeyHerrera01/status/1323631508335321091
81006,2020-11-03,claudiapineiro,"Estoy esperando para darme la segunda dosis de la vacuna china. Delante mío hay cola. Ocho personas, todos con turno. Me pone contenta que tanta gente apueste a que esta vacuna, o cualquier otra, funcione.  Sobre todo, ante tanta energía puesta en sembrar dudas.",73,159,2162,https://twitter.com/claudiapineiro/status/1323638456493445120
330670,2020-11-08,orwellgeorge,"“El jefe del laboratorio qie va a traer la vacuna rusa, estuvo 12 años preso y creó el sindicato de presos. Se cambió el nombre” @guadavazquez Tranqui.",34,847,2144,https://twitter.com/OrwellGeorge/status/1325575882291994625
